SAMPLE	POPULATION	REGION	COUNTRY	STUDY
NA19058	JPT	Asia	JPT	GP
NA19059	JPT	Asia	JPT	GP
NA19060	JPT	Asia	JPT	GP
NA19062	JPT	Asia	JPT	GP
NA19063	JPT	Asia	JPT	GP
NA19064	JPT	Asia	JPT	GP
NA19065	JPT	Asia	JPT	GP
NA19066	JPT	Asia	JPT	GP
NA19067	JPT	Asia	JPT	GP
NA19068	JPT	Asia	JPT	GP
NA19070	JPT	Asia	JPT	GP
NA19072	JPT	Asia	JPT	GP
NA19074	JPT	Asia	JPT	GP
NA19075	JPT	Asia	JPT	GP
NA19076	JPT	Asia	JPT	GP
NA19077	JPT	Asia	JPT	GP
NA19078	JPT	Asia	JPT	GP
NA19079	JPT	Asia	JPT	GP
NA19080	JPT	Asia	JPT	GP
NA19081	JPT	Asia	JPT	GP
NA19082	JPT	Asia	JPT	GP
NA19083	JPT	Asia	JPT	GP
NA19084	JPT	Asia	JPT	GP
NA19085	JPT	Asia	JPT	GP
NA19086	JPT	Asia	JPT	GP
NA19087	JPT	Asia	JPT	GP
NA19088	JPT	Asia	JPT	GP
NA19089	JPT	Asia	JPT	GP
NA19090	JPT	Asia	JPT	GP
NA19091	JPT	Asia	JPT	GP
HG01595	KHV	Asia	KHV	GP
HG01596	KHV	Asia	KHV	GP
HG01597	KHV	Asia	KHV	GP
HG01598	KHV	Asia	KHV	GP
HG01599	KHV	Asia	KHV	GP
HG01600	KHV	Asia	KHV	GP
HG01840	KHV	Asia	KHV	GP
HG01841	KHV	Asia	KHV	GP
HG01842	KHV	Asia	KHV	GP
HG01843	KHV	Asia	KHV	GP
HG01844	KHV	Asia	KHV	GP
HG01845	KHV	Asia	KHV	GP
HG01846	KHV	Asia	KHV	GP
HG01847	KHV	Asia	KHV	GP
HG01848	KHV	Asia	KHV	GP
HG01849	KHV	Asia	KHV	GP
HG01850	KHV	Asia	KHV	GP
HG01851	KHV	Asia	KHV	GP
HG01852	KHV	Asia	KHV	GP
HG01853	KHV	Asia	KHV	GP
HG01855	KHV	Asia	KHV	GP
HG01857	KHV	Asia	KHV	GP
HG01858	KHV	Asia	KHV	GP
HG01859	KHV	Asia	KHV	GP
HG01860	KHV	Asia	KHV	GP
HG01861	KHV	Asia	KHV	GP
HG01862	KHV	Asia	KHV	GP
HG01863	KHV	Asia	KHV	GP
HG01864	KHV	Asia	KHV	GP
HG01865	KHV	Asia	KHV	GP
HG01866	KHV	Asia	KHV	GP
HG01867	KHV	Asia	KHV	GP
HG01868	KHV	Asia	KHV	GP
HG01869	KHV	Asia	KHV	GP
HG01870	KHV	Asia	KHV	GP
HG01871	KHV	Asia	KHV	GP
HG01872	KHV	Asia	KHV	GP
HG01873	KHV	Asia	KHV	GP
HG01874	KHV	Asia	KHV	GP
HG01878	KHV	Asia	KHV	GP
HG02015	KHV	Asia	KHV	GP
HG02016	KHV	Asia	KHV	GP
HG02017	KHV	Asia	KHV	GP
HG02018	KHV	Asia	KHV	GP
HG02019	KHV	Asia	KHV	GP
HG02020	KHV	Asia	KHV	GP
HG02021	KHV	Asia	KHV	GP
HG02023	KHV	Asia	KHV	GP
HG02024	KHV	Asia	KHV	GP
HG02025	KHV	Asia	KHV	GP
HG02026	KHV	Asia	KHV	GP
HG02027	KHV	Asia	KHV	GP
HG02028	KHV	Asia	KHV	GP
HG02029	KHV	Asia	KHV	GP
HG02030	KHV	Asia	KHV	GP
HG02031	KHV	Asia	KHV	GP
HG02032	KHV	Asia	KHV	GP
HG02035	KHV	Asia	KHV	GP
HG02040	KHV	Asia	KHV	GP
HG02046	KHV	Asia	KHV	GP
HG02047	KHV	Asia	KHV	GP
HG02048	KHV	Asia	KHV	GP
HG02049	KHV	Asia	KHV	GP
HG02050	KHV	Asia	KHV	GP
HG02056	KHV	Asia	KHV	GP
HG02057	KHV	Asia	KHV	GP
HG02058	KHV	Asia	KHV	GP
HG02059	KHV	Asia	KHV	GP
HG02060	KHV	Asia	KHV	GP
HG02061	KHV	Asia	KHV	GP
HG02064	KHV	Asia	KHV	GP
HG02067	KHV	Asia	KHV	GP
HG02068	KHV	Asia	KHV	GP
HG02069	KHV	Asia	KHV	GP
HG02070	KHV	Asia	KHV	GP
HG02071	KHV	Asia	KHV	GP
HG02072	KHV	Asia	KHV	GP
HG02073	KHV	Asia	KHV	GP
HG02074	KHV	Asia	KHV	GP
HG02075	KHV	Asia	KHV	GP
HG02076	KHV	Asia	KHV	GP
HG02077	KHV	Asia	KHV	GP
HG02078	KHV	Asia	KHV	GP
HG02079	KHV	Asia	KHV	GP
HG02080	KHV	Asia	KHV	GP
HG02081	KHV	Asia	KHV	GP
HG02082	KHV	Asia	KHV	GP
HG02083	KHV	Asia	KHV	GP
HG02084	KHV	Asia	KHV	GP
HG02085	KHV	Asia	KHV	GP
HG02086	KHV	Asia	KHV	GP
HG02087	KHV	Asia	KHV	GP
HG02088	KHV	Asia	KHV	GP
HG02113	KHV	Asia	KHV	GP
HG02116	KHV	Asia	KHV	GP
HG02120	KHV	Asia	KHV	GP
HG02121	KHV	Asia	KHV	GP
HG02122	KHV	Asia	KHV	GP
HG02126	KHV	Asia	KHV	GP
HG02127	KHV	Asia	KHV	GP
HG02128	KHV	Asia	KHV	GP
HG02129	KHV	Asia	KHV	GP
HG02130	KHV	Asia	KHV	GP
HG02131	KHV	Asia	KHV	GP
HG02132	KHV	Asia	KHV	GP
HG02133	KHV	Asia	KHV	GP
HG02134	KHV	Asia	KHV	GP
HG02135	KHV	Asia	KHV	GP
HG02136	KHV	Asia	KHV	GP
HG02137	KHV	Asia	KHV	GP
HG02138	KHV	Asia	KHV	GP
HG02139	KHV	Asia	KHV	GP
HG02140	KHV	Asia	KHV	GP
HG02141	KHV	Asia	KHV	GP
HG02142	KHV	Asia	KHV	GP
HG02512	KHV	Asia	KHV	GP
HG02513	KHV	Asia	KHV	GP
HG02514	KHV	Asia	KHV	GP
HG02521	KHV	Asia	KHV	GP
HG02522	KHV	Asia	KHV	GP
HG02523	KHV	Asia	KHV	GP
HG02524	KHV	Asia	KHV	GP
HG02525	KHV	Asia	KHV	GP
HG02526	KHV	Asia	KHV	GP
NA19017	LWK	Africa	LWK	GP
NA19019	LWK	Africa	LWK	GP
NA19020	LWK	Africa	LWK	GP
NA19023	LWK	Africa	LWK	GP
NA19024	LWK	Africa	LWK	GP
NA19025	LWK	Africa	LWK	GP
NA19026	LWK	Africa	LWK	GP
NA19027	LWK	Africa	LWK	GP
NA19028	LWK	Africa	LWK	GP
NA19030	LWK	Africa	LWK	GP
NA19031	LWK	Africa	LWK	GP
NA19035	LWK	Africa	LWK	GP
NA19036	LWK	Africa	LWK	GP
NA19037	LWK	Africa	LWK	GP
NA19038	LWK	Africa	LWK	GP
NA19041	LWK	Africa	LWK	GP
NA19042	LWK	Africa	LWK	GP
NA19043	LWK	Africa	LWK	GP
NA19044	LWK	Africa	LWK	GP
NA19046	LWK	Africa	LWK	GP
NA19307	LWK	Africa	LWK	GP
NA19308	LWK	Africa	LWK	GP
NA19309	LWK	Africa	LWK	GP
NA19310	LWK	Africa	LWK	GP
NA19311	LWK	Africa	LWK	GP
NA19312	LWK	Africa	LWK	GP
NA19313	LWK	Africa	LWK	GP
NA19314	LWK	Africa	LWK	GP
NA19315	LWK	Africa	LWK	GP
NA19316	LWK	Africa	LWK	GP
NA19317	LWK	Africa	LWK	GP
NA19318	LWK	Africa	LWK	GP
NA19319	LWK	Africa	LWK	GP
NA19320	LWK	Africa	LWK	GP
NA19321	LWK	Africa	LWK	GP
NA19323	LWK	Africa	LWK	GP
NA19324	LWK	Africa	LWK	GP
NA19327	LWK	Africa	LWK	GP
NA19328	LWK	Africa	LWK	GP
NA19331	LWK	Africa	LWK	GP
NA19332	LWK	Africa	LWK	GP
NA19334	LWK	Africa	LWK	GP
NA19338	LWK	Africa	LWK	GP
NA19346	LWK	Africa	LWK	GP
NA19347	LWK	Africa	LWK	GP
NA19350	LWK	Africa	LWK	GP
NA19351	LWK	Africa	LWK	GP
NA19352	LWK	Africa	LWK	GP
NA19355	LWK	Africa	LWK	GP
NA19359	LWK	Africa	LWK	GP
NA19360	LWK	Africa	LWK	GP
NA19371	LWK	Africa	LWK	GP
NA19372	LWK	Africa	LWK	GP
NA19373	LWK	Africa	LWK	GP
NA19374	LWK	Africa	LWK	GP
NA19375	LWK	Africa	LWK	GP
NA19376	LWK	Africa	LWK	GP
NA19377	LWK	Africa	LWK	GP
NA19378	LWK	Africa	LWK	GP
NA19379	LWK	Africa	LWK	GP
NA19380	LWK	Africa	LWK	GP
NA19381	LWK	Africa	LWK	GP
NA19382	LWK	Africa	LWK	GP
NA19383	LWK	Africa	LWK	GP
NA19384	LWK	Africa	LWK	GP
NA19385	LWK	Africa	LWK	GP
NA19390	LWK	Africa	LWK	GP
NA19391	LWK	Africa	LWK	GP
NA19393	LWK	Africa	LWK	GP
NA19394	LWK	Africa	LWK	GP
NA19395	LWK	Africa	LWK	GP
NA19396	LWK	Africa	LWK	GP
NA19397	LWK	Africa	LWK	GP
NA19398	LWK	Africa	LWK	GP
NA19399	LWK	Africa	LWK	GP
NA19401	LWK	Africa	LWK	GP
NA19403	LWK	Africa	LWK	GP
NA19404	LWK	Africa	LWK	GP
NA19428	LWK	Africa	LWK	GP
NA19429	LWK	Africa	LWK	GP
NA19430	LWK	Africa	LWK	GP
NA19431	LWK	Africa	LWK	GP
NA19432	LWK	Africa	LWK	GP
NA19434	LWK	Africa	LWK	GP
NA19435	LWK	Africa	LWK	GP
NA19436	LWK	Africa	LWK	GP
NA19437	LWK	Africa	LWK	GP
NA19438	LWK	Africa	LWK	GP
NA19439	LWK	Africa	LWK	GP
NA19440	LWK	Africa	LWK	GP
NA19443	LWK	Africa	LWK	GP
NA19444	LWK	Africa	LWK	GP
NA19445	LWK	Africa	LWK	GP
NA19446	LWK	Africa	LWK	GP
NA19448	LWK	Africa	LWK	GP
NA19449	LWK	Africa	LWK	GP
NA19451	LWK	Africa	LWK	GP
NA19452	LWK	Africa	LWK	GP
NA19453	LWK	Africa	LWK	GP
NA19454	LWK	Africa	LWK	GP
NA19455	LWK	Africa	LWK	GP
NA19456	LWK	Africa	LWK	GP
NA19457	LWK	Africa	LWK	GP
NA19461	LWK	Africa	LWK	GP
NA19462	LWK	Africa	LWK	GP
NA19463	LWK	Africa	LWK	GP
NA19466	LWK	Africa	LWK	GP
NA19467	LWK	Africa	LWK	GP
NA19468	LWK	Africa	LWK	GP
NA19469	LWK	Africa	LWK	GP
NA19470	LWK	Africa	LWK	GP
NA19471	LWK	Africa	LWK	GP
NA19472	LWK	Africa	LWK	GP
NA19473	LWK	Africa	LWK	GP
NA19474	LWK	Africa	LWK	GP
NA19475	LWK	Africa	LWK	GP
HG03052	MSL	Africa	MSL	GP
HG03053	MSL	Africa	MSL	GP
HG03054	MSL	Africa	MSL	GP
HG03055	MSL	Africa	MSL	GP
HG03056	MSL	Africa	MSL	GP
HG03057	MSL	Africa	MSL	GP
HG03058	MSL	Africa	MSL	GP
HG03059	MSL	Africa	MSL	GP
HG03060	MSL	Africa	MSL	GP
HG03061	MSL	Africa	MSL	GP
HG03062	MSL	Africa	MSL	GP
HG03063	MSL	Africa	MSL	GP
HG03064	MSL	Africa	MSL	GP
HG03065	MSL	Africa	MSL	GP
HG03066	MSL	Africa	MSL	GP
HG03069	MSL	Africa	MSL	GP
HG03072	MSL	Africa	MSL	GP
HG03073	MSL	Africa	MSL	GP
HG03074	MSL	Africa	MSL	GP
HG03076	MSL	Africa	MSL	GP
HG03077	MSL	Africa	MSL	GP
HG03078	MSL	Africa	MSL	GP
HG03079	MSL	Africa	MSL	GP
HG03080	MSL	Africa	MSL	GP
HG03081	MSL	Africa	MSL	GP
HG03082	MSL	Africa	MSL	GP
HG03084	MSL	Africa	MSL	GP
HG03085	MSL	Africa	MSL	GP
HG03086	MSL	Africa	MSL	GP
HG03088	MSL	Africa	MSL	GP
HG03091	MSL	Africa	MSL	GP
HG03095	MSL	Africa	MSL	GP
HG03096	MSL	Africa	MSL	GP
HG03097	MSL	Africa	MSL	GP
HG03098	MSL	Africa	MSL	GP
HG03209	MSL	Africa	MSL	GP
HG03212	MSL	Africa	MSL	GP
HG03224	MSL	Africa	MSL	GP
HG03225	MSL	Africa	MSL	GP
HG03376	MSL	Africa	MSL	GP
HG03378	MSL	Africa	MSL	GP
HG03380	MSL	Africa	MSL	GP
HG03381	MSL	Africa	MSL	GP
HG03382	MSL	Africa	MSL	GP
HG03383	MSL	Africa	MSL	GP
HG03384	MSL	Africa	MSL	GP
HG03385	MSL	Africa	MSL	GP
HG03388	MSL	Africa	MSL	GP
HG03390	MSL	Africa	MSL	GP
HG03391	MSL	Africa	MSL	GP
HG03393	MSL	Africa	MSL	GP
HG03394	MSL	Africa	MSL	GP
HG03397	MSL	Africa	MSL	GP
HG03398	MSL	Africa	MSL	GP
HG03399	MSL	Africa	MSL	GP
HG03401	MSL	Africa	MSL	GP
HG03402	MSL	Africa	MSL	GP
HG03408	MSL	Africa	MSL	GP
HG03410	MSL	Africa	MSL	GP
HG03411	MSL	Africa	MSL	GP
HG03419	MSL	Africa	MSL	GP
HG03428	MSL	Africa	MSL	GP
HG03431	MSL	Africa	MSL	GP
HG03432	MSL	Africa	MSL	GP
HG03433	MSL	Africa	MSL	GP
HG03436	MSL	Africa	MSL	GP
HG03437	MSL	Africa	MSL	GP
HG03438	MSL	Africa	MSL	GP
HG03439	MSL	Africa	MSL	GP
HG03442	MSL	Africa	MSL	GP
HG03445	MSL	Africa	MSL	GP
HG03446	MSL	Africa	MSL	GP
HG03449	MSL	Africa	MSL	GP
HG03450	MSL	Africa	MSL	GP
HG03451	MSL	Africa	MSL	GP
HG03452	MSL	Africa	MSL	GP
HG03453	MSL	Africa	MSL	GP
HG03454	MSL	Africa	MSL	GP
HG03455	MSL	Africa	MSL	GP
HG03456	MSL	Africa	MSL	GP
HG03457	MSL	Africa	MSL	GP
HG03458	MSL	Africa	MSL	GP
HG03459	MSL	Africa	MSL	GP
HG03460	MSL	Africa	MSL	GP
HG03461	MSL	Africa	MSL	GP
HG03462	MSL	Africa	MSL	GP
HG03464	MSL	Africa	MSL	GP
HG03465	MSL	Africa	MSL	GP
HG03466	MSL	Africa	MSL	GP
HG03468	MSL	Africa	MSL	GP
HG03469	MSL	Africa	MSL	GP
HG03470	MSL	Africa	MSL	GP
HG03471	MSL	Africa	MSL	GP
HG03472	MSL	Africa	MSL	GP
HG03473	MSL	Africa	MSL	GP
HG03474	MSL	Africa	MSL	GP
HG03476	MSL	Africa	MSL	GP
HG03477	MSL	Africa	MSL	GP
HG03478	MSL	Africa	MSL	GP
HG03479	MSL	Africa	MSL	GP
HG03480	MSL	Africa	MSL	GP
HG03484	MSL	Africa	MSL	GP
HG03485	MSL	Africa	MSL	GP
HG03486	MSL	Africa	MSL	GP
HG03547	MSL	Africa	MSL	GP
HG03548	MSL	Africa	MSL	GP
HG03549	MSL	Africa	MSL	GP
HG03556	MSL	Africa	MSL	GP
HG03557	MSL	Africa	MSL	GP
HG03558	MSL	Africa	MSL	GP
HG03559	MSL	Africa	MSL	GP
HG03563	MSL	Africa	MSL	GP
HG03564	MSL	Africa	MSL	GP
HG03565	MSL	Africa	MSL	GP
HG03566	MSL	Africa	MSL	GP
HG03567	MSL	Africa	MSL	GP
HG03569	MSL	Africa	MSL	GP
HG03571	MSL	Africa	MSL	GP
HG03572	MSL	Africa	MSL	GP
HG03574	MSL	Africa	MSL	GP
HG03575	MSL	Africa	MSL	GP
HG03576	MSL	Africa	MSL	GP
HG03577	MSL	Africa	MSL	GP
HG03578	MSL	Africa	MSL	GP
HG03579	MSL	Africa	MSL	GP
HG03582	MSL	Africa	MSL	GP
HG03583	MSL	Africa	MSL	GP
HG03584	MSL	Africa	MSL	GP
NA19648	MXL	America	MXL	GP
NA19649	MXL	America	MXL	GP
NA19650	MXL	America	MXL	GP
NA19651	MXL	America	MXL	GP
NA19652	MXL	America	MXL	GP
NA19653	MXL	America	MXL	GP
NA19654	MXL	America	MXL	GP
NA19655	MXL	America	MXL	GP
NA19656	MXL	America	MXL	GP
NA19657	MXL	America	MXL	GP
NA19658	MXL	America	MXL	GP
NA19659	MXL	America	MXL	GP
NA19660	MXL	America	MXL	GP
NA19661	MXL	America	MXL	GP
NA19662	MXL	America	MXL	GP
NA19663	MXL	America	MXL	GP
NA19664	MXL	America	MXL	GP
NA19665	MXL	America	MXL	GP
NA19669	MXL	America	MXL	GP
NA19670	MXL	America	MXL	GP
NA19671	MXL	America	MXL	GP
NA19672	MXL	America	MXL	GP
NA19674	MXL	America	MXL	GP
NA19675	MXL	America	MXL	GP
NA19676	MXL	America	MXL	GP
NA19677	MXL	America	MXL	GP
NA19678	MXL	America	MXL	GP
NA19679	MXL	America	MXL	GP
NA19680	MXL	America	MXL	GP
NA19681	MXL	America	MXL	GP
NA19682	MXL	America	MXL	GP
NA19683	MXL	America	MXL	GP
NA19684	MXL	America	MXL	GP
NA19685	MXL	America	MXL	GP
NA19686	MXL	America	MXL	GP
NA19716	MXL	America	MXL	GP
NA19717	MXL	America	MXL	GP
NA19718	MXL	America	MXL	GP
NA19719	MXL	America	MXL	GP
NA19720	MXL	America	MXL	GP
NA19721	MXL	America	MXL	GP
NA19722	MXL	America	MXL	GP
NA19723	MXL	America	MXL	GP
NA19724	MXL	America	MXL	GP
NA19725	MXL	America	MXL	GP
NA19726	MXL	America	MXL	GP
NA19727	MXL	America	MXL	GP
NA19728	MXL	America	MXL	GP
NA19729	MXL	America	MXL	GP
NA19730	MXL	America	MXL	GP
NA19731	MXL	America	MXL	GP
NA19732	MXL	America	MXL	GP
NA19733	MXL	America	MXL	GP
NA19734	MXL	America	MXL	GP
NA19735	MXL	America	MXL	GP
NA19737	MXL	America	MXL	GP
NA19738	MXL	America	MXL	GP
NA19740	MXL	America	MXL	GP
NA19741	MXL	America	MXL	GP
NA19742	MXL	America	MXL	GP
NA19746	MXL	America	MXL	GP
NA19747	MXL	America	MXL	GP
NA19748	MXL	America	MXL	GP
NA19749	MXL	America	MXL	GP
NA19750	MXL	America	MXL	GP
NA19751	MXL	America	MXL	GP
NA19752	MXL	America	MXL	GP
NA19753	MXL	America	MXL	GP
NA19754	MXL	America	MXL	GP
NA19755	MXL	America	MXL	GP
NA19756	MXL	America	MXL	GP
NA19757	MXL	America	MXL	GP
NA19758	MXL	America	MXL	GP
NA19759	MXL	America	MXL	GP
NA19760	MXL	America	MXL	GP
NA19761	MXL	America	MXL	GP
NA19762	MXL	America	MXL	GP
NA19763	MXL	America	MXL	GP
NA19764	MXL	America	MXL	GP
NA19766	MXL	America	MXL	GP
NA19770	MXL	America	MXL	GP
NA19771	MXL	America	MXL	GP
NA19772	MXL	America	MXL	GP
NA19773	MXL	America	MXL	GP
NA19774	MXL	America	MXL	GP
NA19775	MXL	America	MXL	GP
NA19776	MXL	America	MXL	GP
NA19777	MXL	America	MXL	GP
NA19778	MXL	America	MXL	GP
NA19779	MXL	America	MXL	GP
NA19780	MXL	America	MXL	GP
NA19781	MXL	America	MXL	GP
NA19782	MXL	America	MXL	GP
NA19783	MXL	America	MXL	GP
NA19784	MXL	America	MXL	GP
NA19785	MXL	America	MXL	GP
NA19786	MXL	America	MXL	GP
NA19787	MXL	America	MXL	GP
NA19788	MXL	America	MXL	GP
NA19789	MXL	America	MXL	GP
NA19790	MXL	America	MXL	GP
NA19792	MXL	America	MXL	GP
NA19794	MXL	America	MXL	GP
NA19795	MXL	America	MXL	GP
NA19796	MXL	America	MXL	GP
NA19797	MXL	America	MXL	GP
NA19798	MXL	America	MXL	GP
HG01565	PEL	America	PEL	GP
HG01566	PEL	America	PEL	GP
HG01567	PEL	America	PEL	GP
HG01571	PEL	America	PEL	GP
HG01572	PEL	America	PEL	GP
HG01573	PEL	America	PEL	GP
HG01577	PEL	America	PEL	GP
HG01578	PEL	America	PEL	GP
HG01579	PEL	America	PEL	GP
HG01892	PEL	America	PEL	GP
HG01893	PEL	America	PEL	GP
HG01898	PEL	America	PEL	GP
HG01917	PEL	America	PEL	GP
HG01918	PEL	America	PEL	GP
HG01919	PEL	America	PEL	GP
HG01920	PEL	America	PEL	GP
HG01921	PEL	America	PEL	GP
HG01922	PEL	America	PEL	GP
HG01923	PEL	America	PEL	GP
HG01924	PEL	America	PEL	GP
HG01925	PEL	America	PEL	GP
HG01926	PEL	America	PEL	GP
HG01927	PEL	America	PEL	GP
HG01928	PEL	America	PEL	GP
HG01932	PEL	America	PEL	GP
HG01933	PEL	America	PEL	GP
HG01934	PEL	America	PEL	GP
HG01935	PEL	America	PEL	GP
HG01936	PEL	America	PEL	GP
HG01937	PEL	America	PEL	GP
HG01938	PEL	America	PEL	GP
HG01939	PEL	America	PEL	GP
HG01940	PEL	America	PEL	GP
HG01941	PEL	America	PEL	GP
HG01942	PEL	America	PEL	GP
HG01943	PEL	America	PEL	GP
HG01944	PEL	America	PEL	GP
HG01945	PEL	America	PEL	GP
HG01946	PEL	America	PEL	GP
HG01947	PEL	America	PEL	GP
HG01948	PEL	America	PEL	GP
HG01949	PEL	America	PEL	GP
HG01950	PEL	America	PEL	GP
HG01951	PEL	America	PEL	GP
HG01952	PEL	America	PEL	GP
HG01953	PEL	America	PEL	GP
HG01954	PEL	America	PEL	GP
HG01955	PEL	America	PEL	GP
HG01961	PEL	America	PEL	GP
HG01965	PEL	America	PEL	GP
HG01967	PEL	America	PEL	GP
HG01968	PEL	America	PEL	GP
HG01969	PEL	America	PEL	GP
HG01970	PEL	America	PEL	GP
HG01971	PEL	America	PEL	GP
HG01972	PEL	America	PEL	GP
HG01973	PEL	America	PEL	GP
HG01974	PEL	America	PEL	GP
HG01975	PEL	America	PEL	GP
HG01976	PEL	America	PEL	GP
HG01977	PEL	America	PEL	GP
HG01978	PEL	America	PEL	GP
HG01979	PEL	America	PEL	GP
HG01980	PEL	America	PEL	GP
HG01981	PEL	America	PEL	GP
HG01982	PEL	America	PEL	GP
HG01983	PEL	America	PEL	GP
HG01984	PEL	America	PEL	GP
HG01991	PEL	America	PEL	GP
HG01992	PEL	America	PEL	GP
HG01993	PEL	America	PEL	GP
HG01995	PEL	America	PEL	GP
HG01997	PEL	America	PEL	GP
HG01998	PEL	America	PEL	GP
HG02002	PEL	America	PEL	GP
HG02003	PEL	America	PEL	GP
HG02004	PEL	America	PEL	GP
HG02006	PEL	America	PEL	GP
HG02008	PEL	America	PEL	GP
HG02089	PEL	America	PEL	GP
HG02090	PEL	America	PEL	GP
HG02091	PEL	America	PEL	GP
HG02102	PEL	America	PEL	GP
HG02104	PEL	America	PEL	GP
HG02105	PEL	America	PEL	GP
HG02106	PEL	America	PEL	GP
HG02146	PEL	America	PEL	GP
HG02147	PEL	America	PEL	GP
HG02148	PEL	America	PEL	GP
HG02150	PEL	America	PEL	GP
HG02252	PEL	America	PEL	GP
HG02253	PEL	America	PEL	GP
HG02254	PEL	America	PEL	GP
HG02259	PEL	America	PEL	GP
HG02260	PEL	America	PEL	GP
HG02261	PEL	America	PEL	GP
HG02262	PEL	America	PEL	GP
HG02265	PEL	America	PEL	GP
HG02266	PEL	America	PEL	GP
HG02267	PEL	America	PEL	GP
HG02271	PEL	America	PEL	GP
HG02272	PEL	America	PEL	GP
HG02273	PEL	America	PEL	GP
HG02274	PEL	America	PEL	GP
HG02275	PEL	America	PEL	GP
HG02276	PEL	America	PEL	GP
HG02277	PEL	America	PEL	GP
HG02278	PEL	America	PEL	GP
HG02279	PEL	America	PEL	GP
HG02285	PEL	America	PEL	GP
HG02286	PEL	America	PEL	GP
HG02287	PEL	America	PEL	GP
HG02288	PEL	America	PEL	GP
HG02291	PEL	America	PEL	GP
HG02292	PEL	America	PEL	GP
HG02293	PEL	America	PEL	GP
HG02298	PEL	America	PEL	GP
HG02299	PEL	America	PEL	GP
HG02300	PEL	America	PEL	GP
HG02301	PEL	America	PEL	GP
HG02302	PEL	America	PEL	GP
HG02303	PEL	America	PEL	GP
HG02304	PEL	America	PEL	GP
HG02312	PEL	America	PEL	GP
HG02344	PEL	America	PEL	GP
HG02345	PEL	America	PEL	GP
HG02347	PEL	America	PEL	GP
HG02348	PEL	America	PEL	GP
HG02415	PEL	America	PEL	GP
HG02425	PEL	America	PEL	GP
HG01583	PJL	SEA	PJL	GP
HG01586	PJL	SEA	PJL	GP
HG01589	PJL	SEA	PJL	GP
HG01590	PJL	SEA	PJL	GP
HG01593	PJL	SEA	PJL	GP
HG01594	PJL	SEA	PJL	GP
HG02490	PJL	SEA	PJL	GP
HG02491	PJL	SEA	PJL	GP
HG02492	PJL	SEA	PJL	GP
HG02493	PJL	SEA	PJL	GP
HG02494	PJL	SEA	PJL	GP
HG02495	PJL	SEA	PJL	GP
HG02597	PJL	SEA	PJL	GP
HG02599	PJL	SEA	PJL	GP
HG02600	PJL	SEA	PJL	GP
HG02601	PJL	SEA	PJL	GP
HG02602	PJL	SEA	PJL	GP
HG02603	PJL	SEA	PJL	GP
HG02604	PJL	SEA	PJL	GP
HG02605	PJL	SEA	PJL	GP
HG02648	PJL	SEA	PJL	GP
HG02649	PJL	SEA	PJL	GP
HG02650	PJL	SEA	PJL	GP
HG02651	PJL	SEA	PJL	GP
HG02652	PJL	SEA	PJL	GP
HG02653	PJL	SEA	PJL	GP
HG02654	PJL	SEA	PJL	GP
HG02655	PJL	SEA	PJL	GP
HG02656	PJL	SEA	PJL	GP
HG02657	PJL	SEA	PJL	GP
HG02658	PJL	SEA	PJL	GP
HG02659	PJL	SEA	PJL	GP
HG02660	PJL	SEA	PJL	GP
HG02661	PJL	SEA	PJL	GP
HG02662	PJL	SEA	PJL	GP
HG02681	PJL	SEA	PJL	GP
HG02682	PJL	SEA	PJL	GP
HG02683	PJL	SEA	PJL	GP
HG02684	PJL	SEA	PJL	GP
HG02685	PJL	SEA	PJL	GP
HG02686	PJL	SEA	PJL	GP
HG02687	PJL	SEA	PJL	GP
HG02688	PJL	SEA	PJL	GP
HG02689	PJL	SEA	PJL	GP
HG02690	PJL	SEA	PJL	GP
HG02691	PJL	SEA	PJL	GP
HG02692	PJL	SEA	PJL	GP
HG02694	PJL	SEA	PJL	GP
HG02696	PJL	SEA	PJL	GP
HG02697	PJL	SEA	PJL	GP
HG02698	PJL	SEA	PJL	GP
HG02699	PJL	SEA	PJL	GP
HG02700	PJL	SEA	PJL	GP
HG02701	PJL	SEA	PJL	GP
HG02724	PJL	SEA	PJL	GP
HG02725	PJL	SEA	PJL	GP
HG02726	PJL	SEA	PJL	GP
HG02727	PJL	SEA	PJL	GP
HG02728	PJL	SEA	PJL	GP
HG02729	PJL	SEA	PJL	GP
HG02731	PJL	SEA	PJL	GP
HG02733	PJL	SEA	PJL	GP
HG02734	PJL	SEA	PJL	GP
HG02735	PJL	SEA	PJL	GP
HG02736	PJL	SEA	PJL	GP
HG02737	PJL	SEA	PJL	GP
HG02738	PJL	SEA	PJL	GP
HG02774	PJL	SEA	PJL	GP
HG02775	PJL	SEA	PJL	GP
HG02776	PJL	SEA	PJL	GP
HG02778	PJL	SEA	PJL	GP
HG02779	PJL	SEA	PJL	GP
HG02780	PJL	SEA	PJL	GP
HG02781	PJL	SEA	PJL	GP
HG02783	PJL	SEA	PJL	GP
HG02784	PJL	SEA	PJL	GP
HG02785	PJL	SEA	PJL	GP
HG02786	PJL	SEA	PJL	GP
HG02787	PJL	SEA	PJL	GP
HG02788	PJL	SEA	PJL	GP
HG02789	PJL	SEA	PJL	GP
HG02790	PJL	SEA	PJL	GP
HG02791	PJL	SEA	PJL	GP
HG02792	PJL	SEA	PJL	GP
HG02793	PJL	SEA	PJL	GP
HG02794	PJL	SEA	PJL	GP
HG03015	PJL	SEA	PJL	GP
